User_ID,Item_ID,Category,Rating,Timestamp,Price,Platform,Location
User_913,Item_52,Movies,2.0,2023-05-15,369.55,Web,Africa
User_3457,Item_66,Electronics,1.4,2023-08-19,255.15,Web,Africa
User_1629,Item_1467,Sports,2.7,2024-03-27,296.69,Web,Europe
User_3463,Item_697,Movies,1.6,2023-12-03,55.59,Tablet,North America
User_2941,Item_1736,Games,3.4,2023-02-06,366.22,Web,South America
User_646,Item_1131,Movies,4.3,2024-09-17,443.3,Smart TV,Africa
User_1576,Item_1443,Books,1.2,2023-08-14,387.67,Web,Europe
User_828,Item_779,Movies,2.8,2024-01-01,85.51,Smart TV,Europe
User_2188,Item_1438,Books,3.4,2023-06-17,269.4,Mobile App,Europe
User_3787,Item_778,Movies,5.0,2024-10-09,345.64,Mobile App,Australia
User_2657,Item_1727,Electronics,1.9,2023-01-25,403.5,Tablet,Asia
User_543,Item_433,Games,1.9,2024-05-18,200.84,Tablet,Europe
User_2170,Item_286,Music,4.0,2024-06-27,135.06,Tablet,Africa
User_3272,Item_742,Music,5.0,2023-05-14,257.22,Web,North America
User_899,Item_314,Clothing,4.2,2024-02-29,300.22,Tablet,South America
User_4882,Item_959,Sports,2.0,2024-07-12,431.09,Web,Australia
User_939,Item_1397,Sports,4.0,2024-10-10,173.39,Smart TV,South America
User_1296,Item_930,Electronics,4.8,2023-09-19,486.08,Mobile App,Africa
User_872,Item_1783,Movies,4.4,2024-05-26,306.44,Mobile App,Asia
User_1324,Item_1105,Sports,4.7,2024-08-28,165.46,Web,North America
User_2974,Item_1800,Movies,2.0,2023-08-27,439.61,Web,North America
User_3982,Item_1672,Books,4.9,2024-06-21,384.09,Mobile App,Australia
User_3894,Item_1940,Sports,1.7,2024-06-16,436.85,Tablet,Europe
User_4418,Item_1547,Music,3.9,2024-02-05,497.6,Smart TV,South America
User_4240,Item_925,Books,2.0,2023-02-27,172.35,Mobile App,Africa
User_1805,Item_15,Books,3.8,2023-02-22,118.33,Web,Asia
User_581,Item_1053,Music,2.1,2024-05-04,111.05,Mobile App,Australia
User_4678,Item_1181,Beauty,2.0,2024-04-21,404.71,Mobile App,North America
User_795,Item_1350,Home,2.4,2024-02-17,236.18,Web,Australia
User_807,Item_125,Home,3.9,2023-04-14,128.08,Mobile App,Africa
User_3676,Item_288,Home,1.7,2024-04-10,128.65,Web,South America
User_4509,Item_201,Electronics,3.6,2024-06-29,418.83,Web,Europe
User_1363,Item_833,Beauty,2.9,2024-02-07,451.71,Mobile App,South America
User_18,Item_800,Movies,4.7,2024-04-02,146.2,Tablet,Europe
User_1556,Item_608,Music,4.9,2024-08-08,369.19,Web,Australia
User_2570,Item_118,Electronics,3.3,2024-05-21,460.1,Mobile App,North America
User_4161,Item_165,Clothing,1.3,2023-03-03,339.23,Mobile App,South America
User_983,Item_1929,Music,3.3,2023-02-02,311.59,Tablet,Australia
User_4782,Item_1158,Sports,2.3,2023-09-17,106.11,Smart TV,Europe
User_2176,Item_811,Clothing,3.7,2023-10-27,231.33,Web,North America
User_3755,Item_1273,Books,1.3,2023-07-30,255.41,Mobile App,Asia
User_564,Item_1801,Music,2.5,2023-06-03,221.9,Smart TV,Africa
User_4334,Item_17,Sports,2.2,2024-11-02,56.28,Mobile App,Asia
User_946,Item_1823,Books,4.0,2023-06-01,139.81,Mobile App,Australia
User_2809,Item_417,Movies,3.0,2023-09-07,453.14,Web,North America
User_3470,Item_1699,Movies,1.2,2023-11-30,386.7,Smart TV,Europe
User_3620,Item_1130,Home,3.2,2023-04-17,42.25,Mobile App,Africa
User_296,Item_1710,Games,3.3,2023-05-24,217.74,Web,Asia
User_2988,Item_1842,Electronics,4.6,2023-07-27,342.62,Web,Asia
User_4587,Item_1811,Home,4.9,2023-05-31,463.25,Mobile App,Europe
User_1451,Item_1806,Home,1.1,2023-11-29,392.28,Tablet,Australia
User_2033,Item_547,Clothing,4.1,2023-04-13,194.36,Web,South America
User_1823,Item_409,Beauty,2.4,2023-08-14,115.35,Mobile App,South America
User_2690,Item_571,Books,4.9,2023-10-05,178.82,Tablet,Australia
User_4393,Item_679,Electronics,1.5,2023-09-17,93.39,Smart TV,North America
User_889,Item_1222,Home,2.4,2023-11-10,221.01,Web,South America
User_4724,Item_390,Movies,1.2,2024-03-14,5.84,Mobile App,Asia
User_3534,Item_144,Games,3.5,2024-11-02,424.77,Smart TV,Africa
User_2534,Item_1366,Home,2.3,2024-12-06,151.35,Mobile App,Europe
User_3445,Item_1362,Home,3.7,2023-06-20,309.68,Smart TV,South America
User_4489,Item_1708,Electronics,2.2,2023-07-27,217.79,Smart TV,South America
User_3620,Item_906,Music,3.0,2023-06-15,331.13,Smart TV,Africa
User_2746,Item_192,Music,3.7,2023-08-11,404.25,Mobile App,North America
User_379,Item_502,Beauty,3.4,2023-03-08,230.43,Mobile App,Australia
User_3146,Item_1013,Home,2.0,2024-10-25,345.37,Web,South America
User_1793,Item_361,Sports,2.9,2024-07-16,128.35,Web,South America
User_1093,Item_1642,Beauty,3.7,2024-07-18,299.75,Tablet,Africa
User_4136,Item_874,Sports,2.8,2023-06-04,373.11,Tablet,South America
User_2124,Item_1540,Music,4.4,2023-10-03,384.08,Tablet,Australia
User_1960,Item_563,Beauty,1.3,2023-10-12,121.07,Smart TV,Asia
User_4425,Item_166,Clothing,1.6,2024-01-20,348.51,Mobile App,North America
User_3399,Item_835,Games,3.2,2024-02-22,35.82,Tablet,South America
User_4785,Item_1938,Electronics,4.4,2024-08-04,193.29,Web,Asia
User_2447,Item_1544,Home,4.4,2024-02-26,271.42,Mobile App,South America
User_1798,Item_559,Home,2.9,2024-01-26,171.38,Tablet,Australia
User_1353,Item_1722,Beauty,4.7,2024-09-21,269.39,Tablet,Africa
